children,days_employed,dob_years,education,education_id,family_status,family_status_id,gender,income_type,debt,total_income,purpose
0,-1182.547744,45,secondary education,1,married,0,F,employee,0,17600.698,housing transactions
0,-118.8914114,35,some college,2,unmarried,4,M,employee,0,45264.075,second-hand car purchase
0,,21,secondary education,1,unmarried,4,M,business,0,,transactions with commercial real estate
0,-916.4288293,28,secondary education,1,married,0,M,employee,0,23234.324,to become educated
0,,52,bachelor's degree,0,married,0,F,retiree,0,,purchase of the house for my family
2,-2152.475526,46,bachelor's degree,0,married,0,M,business,0,94731.434,transactions with commercial real estate
0,-779.2284491,23,secondary education,1,unmarried,4,F,employee,0,14599.529,purchase of my own house
1,-2802.226671,28,BACHELOR'S DEGREE,0,married,0,M,civil servant,0,33209.835,buy commercial real estate
0,338113.5299,62,secondary education,1,married,0,F,retiree,0,7028.751,cars
1,,32,bachelor's degree,0,married,0,M,civil servant,0,,transactions with commercial real estate
0,-1631.939403,40,secondary education,1,civil partnership,1,M,employee,0,15671.495,to become educated
1,-5110.543709,45,secondary education,1,married,0,F,employee,0,12982.845,purchase of the house for my family
1,-2953.151948,38,secondary education,1,married,0,M,employee,1,13109.661,real estate transactions
1,-2252.192722,44,bachelor's degree,0,married,0,M,employee,0,23838.725,buying a second-hand car
0,-726.9437706,43,bachelor's degree,0,unmarried,4,F,employee,0,22535.036,to own a car
0,359722.9451,61,bachelor's degree,0,married,0,M,retiree,0,28020.423,purchase of a car
0,-3278.296751,27,secondary education,1,unmarried,4,M,business,0,40589.074,cars
0,-127.3349424,25,secondary education,1,unmarried,4,F,business,0,13238.466,purchase of a car
0,-204.6731655,33,Secondary Education,1,married,0,F,employee,0,17733.314,profile education
2,,50,bachelor's degree,0,married,0,F,employee,0,,housing
0,,52,secondary education,1,married,0,M,employee,0,,housing
0,-7125.215028,53,secondary education,1,married,0,F,civil servant,0,40945.468,transactions with my real estate
0,-275.9938475,30,secondary education,1,married,0,M,employee,0,8659.769,university education
0,383933.5497,64,secondary education,1,civil partnership,1,M,retiree,0,38885.353,wedding ceremony
0,337659.535,53,secondary education,1,married,0,F,retiree,0,11898.217,buying property for renting out
0,373129.7897,63,bachelor's degree,0,civil partnership,1,F,retiree,0,33099.576,having a wedding
0,-72.6257852,42,secondary education,1,civil partnership,1,F,business,0,7914.227,second-hand car purchase
2,,35,bachelor's degree,0,married,0,F,employee,0,,housing transactions
2,-5010.997436,39,secondary education,1,married,0,F,employee,0,24941.897,buy real estate
1,-1669.279681,40,bachelor's degree,0,civil partnership,1,F,employee,0,30623.674,to have a wedding
1,-1446.622542,32,secondary education,1,married,0,M,employee,1,52982.334,purchase of a car
1,,34,bachelor's degree,0,civil partnership,1,F,business,0,,having a wedding
0,-541.8322412,51,bachelor's degree,0,married,0,F,employee,0,15070.06,car
0,,44,SECONDARY EDUCATION,1,married,0,F,employee,0,,buy residential real estate
0,,47,bachelor's degree,0,married,0,F,employee,0,,profile education
0,364906.2057,54,bachelor's degree,0,married,0,F,retiree,0,31953.168,buying property for renting out
0,346541.6189,0,Secondary Education,1,married,0,F,retiree,0,11406.644,car
0,-605.026441,49,SECONDARY EDUCATION,1,widow / widower,2,F,employee,1,28221.581,real estate transactions
0,391558.9618,65,secondary education,1,married,0,F,retiree,0,25275.278,buying my own car
0,-1377.447235,51,secondary education,1,civil partnership,1,F,business,0,20273.056,buying a second-hand car
1,-888.2833471,39,SECONDARY EDUCATION,1,unmarried,4,F,employee,0,22757.038,building a property
0,366323.6494,59,secondary education,1,unmarried,4,F,retiree,0,26173.112,buying property for renting out
0,-2098.626296,62,SECONDARY EDUCATION,1,widow / widower,2,F,employee,0,12301.47,construction of own property
1,-300.6425933,29,secondary education,1,civil partnership,1,F,employee,0,27499.477,education
0,-1493.449117,24,bachelor's degree,0,civil partnership,1,F,business,0,32478.203,construction of own property
2,-753.4670421,33,bachelor's degree,0,civil partnership,1,F,employee,0,28808.28,second-hand car purchase
0,-2147.472608,59,secondary education,1,married,0,F,employee,0,17222.988,education
0,-413.9826021,41,secondary education,1,married,0,M,civil servant,0,18968.257,purchase of the house
0,-12930.54168,61,secondary education,1,unmarried,4,F,business,0,27823.459,property
1,-1841.358094,28,bachelor's degree,0,married,0,M,employee,0,44949.489,property
0,-6083.99473,52,secondary education,1,married,0,F,civil servant,0,19304.816,education
0,-1599.879161,26,bachelor's degree,0,married,0,F,employee,1,22955.474,transactions with my real estate
1,-2523.847898,38,bachelor's degree,0,married,0,F,civil servant,0,15655.724,transactions with commercial real estate
1,-540.0384252,50,secondary education,1,married,0,M,employee,0,13338.611,buy residential real estate
0,-3817.113295,41,secondary education,1,divorced,3,F,employee,0,28636.021,to buy a car
2,-2774.655137,33,secondary education,1,civil partnership,1,M,business,0,18171.554,having a wedding
0,382189.1291,60,secondary education,1,unmarried,4,F,retiree,0,5045.56,buy commercial real estate
0,,46,secondary education,1,married,0,F,employee,0,,university education
0,,29,bachelor's degree,0,married,0,F,business,0,,car
0,-171.1624207,55,BACHELOR'S DEGREE,0,married,0,F,business,0,16580.491,cars
2,-5718.708901,39,Secondary Education,1,married,0,M,employee,0,13422.851,buying property for renting out
0,-1080.514782,38,secondary education,1,married,0,F,employee,1,28007.428,transactions with commercial real estate
0,-191.1467458,64,bachelor's degree,0,civil partnership,1,F,business,0,29825.399,wedding ceremony
1,-2471.548552,49,secondary education,1,married,0,M,business,0,54322.778,construction of own property
0,-5229.552069,43,BACHELOR'S DEGREE,0,unmarried,4,F,employee,0,32524.736,building a real estate
0,379035.9206,67,secondary education,1,divorced,3,F,retiree,0,17973.086,purchase of a car
0,361010.3213,61,secondary education,1,civil partnership,1,M,retiree,0,16583.189,car
0,-897.3228055,42,secondary education,1,married,0,F,business,0,15335.319,transactions with my real estate
0,-639.5647076,58,secondary education,1,married,0,M,employee,0,11782.014,to get a supplementary education
1,-1306.428456,45,secondary education,1,married,0,M,employee,0,39396.479,car
0,344507.3928,64,secondary education,1,married,0,F,retiree,0,12647.624,education
1,-4171.107677,46,SOME COLLEGE,2,divorced,3,F,employee,0,26562.526,buy residential real estate
0,,27,secondary education,1,married,0,M,business,0,,housing
0,357880.1594,60,primary education,3,married,0,M,retiree,0,18099.872,transactions with my real estate
1,-1910.037592,28,bachelor's degree,0,civil partnership,1,M,employee,0,43107.834,to have a wedding
0,-2572.053173,43,secondary education,1,married,0,F,civil servant,0,19172.425,purchase of my own house
0,-1765.557387,29,some college,2,married,0,M,business,0,31509.132,housing renovation
0,-3017.782065,24,secondary education,1,civil partnership,1,F,employee,0,16337.758,buy commercial real estate
0,,39,secondary education,1,civil partnership,1,M,employee,0,,wedding ceremony
0,347947.8355,54,secondary education,1,married,0,F,retiree,0,17324.903,second-hand car purchase
0,-1893.299829,48,secondary education,1,widow / widower,2,F,employee,0,24171.11,construction of own property
1,-2105.382664,45,secondary education,1,civil partnership,1,F,employee,0,45479.693,to own a car
0,,62,secondary education,1,married,0,M,retiree,0,,building a property
0,-1302.026042,46,secondary education,1,married,0,F,employee,0,15793.557,purchase of the house
0,-5772.479896,47,secondary education,1,married,0,F,civil servant,1,11925.616,real estate transactions
0,-5050.29284,37,secondary education,1,married,0,F,employee,0,23225.474,buying my own car
0,-2664.273168,0,secondary education,1,divorced,3,F,employee,0,11228.23,housing transactions
0,393711.5199,71,secondary education,1,civil partnership,1,F,retiree,0,27854.127,to have a wedding
0,-896.4623714,37,bachelor's degree,0,civil partnership,1,F,business,0,74094.397,to have a wedding
1,-3597.776388,39,secondary education,1,married,0,F,business,0,6542.581,purchase of my own house
1,-132.748536,20,secondary education,1,married,0,M,business,1,21560.12,housing
1,-1803.930605,41,bachelor's degree,0,widow / widower,2,F,employee,0,22898.133,transactions with commercial real estate
0,-1208.596179,40,secondary education,1,married,0,F,business,0,11326.134,supplementary education
0,362366.8572,65,Secondary Education,1,married,0,M,retiree,0,41806.566,to get a supplementary education
0,348414.028,38,secondary education,1,married,0,F,retiree,1,18169.704,purchase of a car
0,-11001.58909,56,secondary education,1,married,0,F,employee,0,12887.558,education
0,371052.6968,59,secondary education,1,unmarried,4,F,retiree,0,23926.857,buying my own car
0,-2063.223473,45,secondary education,1,civil partnership,1,M,employee,0,31741.888,buying property for renting out
1,-1147.591637,39,bachelor's degree,0,married,0,F,employee,0,13937.139,car purchase
0,-3755.843042,62,secondary education,1,married,0,M,employee,0,10652.419,to get a supplementary education
0,-7473.902957,50,secondary education,1,married,0,M,employee,0,12636.092,housing renovation
2,-2357.523214,27,bachelor's degree,0,married,0,F,employee,1,59133.934,buying my own car
2,-1268.870686,32,bachelor's degree,0,married,0,M,civil servant,0,36526.28,purchase of the house
0,-450.0613424,38,Secondary Education,1,civil partnership,1,M,employee,0,23051.794,housing transactions
0,-7219.276087,56,secondary education,1,civil partnership,1,F,civil servant,0,35315.049,having a wedding
0,361970.2205,67,secondary education,1,widow / widower,2,F,retiree,0,22246.231,purchase of my own house
0,372110.893,58,secondary education,1,civil partnership,1,F,retiree,0,26857.872,car purchase
0,-182.2267233,28,bachelor's degree,0,unmarried,4,M,employee,0,19475.503,housing
0,-9566.241471,60,secondary education,1,civil partnership,1,F,business,0,36031.647,having a wedding
0,-4652.167869,49,secondary education,1,married,0,F,employee,0,29276.818,building a property
0,-9099.945305,49,secondary education,1,married,0,M,business,0,66633.9,buy commercial real estate
0,,55,bachelor's degree,0,widow / widower,2,F,business,0,,to own a car
2,-1734.741012,38,secondary education,1,married,0,F,employee,0,22593.709,building a property
0,364178.2549,60,secondary education,1,married,0,F,retiree,0,16739.371,going to university
2,-2109.314691,48,secondary education,1,married,0,M,civil servant,0,27691.871,second-hand car purchase
0,395728.3614,59,secondary education,1,widow / widower,2,F,retiree,0,13963.005,car purchase
0,-1177.055383,43,secondary education,1,unmarried,4,F,employee,0,28446.402,purchase of my own house
0,-60.63732756,37,secondary education,1,civil partnership,1,F,employee,0,33961.154,to have a wedding
0,,26,secondary education,1,civil partnership,1,F,business,1,,purchase of the house for my family
1,-8164.333209,49,secondary education,1,civil partnership,1,F,employee,0,13027.153,wedding ceremony
1,-166.265037,35,bachelor's degree,0,civil partnership,1,M,business,1,43550.88,to get a supplementary education
0,369682.2227,57,bachelor's degree,0,married,0,M,retiree,0,22614.059,buying property for renting out
0,-5026.22946,32,secondary education,1,civil partnership,1,M,employee,1,25744.913,to get a supplementary education
0,-225.1236895,34,secondary education,1,divorced,3,F,employee,0,32264.057,transactions with commercial real estate
0,-876.8431102,46,bachelor's degree,0,civil partnership,1,F,employee,0,41606.026,university education
0,-99.19594695,48,secondary education,1,married,0,M,employee,0,27767.149,purchase of my own house
1,,30,secondary education,1,unmarried,4,F,employee,0,,to own a car
0,-335.5229563,26,secondary education,1,civil partnership,1,M,business,0,25742.636,having a wedding
0,336562.0164,60,SECONDARY EDUCATION,1,married,0,F,retiree,0,27831.736,university education
0,-2573.13678,47,secondary education,1,married,0,M,employee,0,34950.721,to own a car
0,386330.8511,60,bachelor's degree,0,divorced,3,F,retiree,0,15550.719,buying a second-hand car
0,-98.31216168,24,secondary education,1,civil partnership,1,M,business,0,21737.742,getting an education
0,-117.1278865,51,secondary education,1,married,0,F,employee,0,40934.138,supplementary education
0,-1589.781401,37,bachelor's degree,0,married,0,F,business,0,25720.728,purchase of my own house
0,-12136.13138,59,bachelor's degree,0,married,0,F,employee,0,22535.94,buy real estate
0,-1403.08083,52,secondary education,1,unmarried,4,F,business,0,22267.106,buying my own car
1,-223.5470177,23,Secondary Education,1,widow / widower,2,F,employee,0,9367.94,second-hand car purchase
0,-5532.372185,41,secondary education,1,civil partnership,1,F,employee,0,32180.168,building a property
0,-6542.46079,39,secondary education,1,married,0,F,business,0,13919.489,buy residential real estate
1,-1575.323578,38,secondary education,1,married,0,F,employee,1,14553.751,buy residential real estate
0,-2829.665755,56,SECONDARY EDUCATION,1,married,0,M,employee,0,26203.964,construction of own property
0,334637.4645,61,secondary education,1,married,0,F,retiree,0,29009.248,building a real estate
1,,31,bachelor's degree,0,married,0,F,employee,0,,buying a second-hand car
0,363924.8817,54,Secondary Education,1,married,0,F,retiree,0,42747.633,getting an education
0,-1352.317907,37,secondary education,1,unmarried,4,F,employee,0,18037.741,purchase of my own house
0,-749.1756773,22,secondary education,1,civil partnership,1,M,business,0,25998.723,profile education
2,-271.5705315,38,bachelor's degree,0,married,0,F,employee,0,31221.342,transactions with commercial real estate
2,342167.2121,55,primary education,3,widow / widower,2,F,retiree,0,25701.619,building a real estate
0,-577.2734343,41,primary education,3,civil partnership,1,F,employee,0,5863.853,second-hand car purchase
0,-5863.25903,48,bachelor's degree,0,unmarried,4,M,civil servant,0,38351.619,car purchase
1,-703.2435102,38,bachelor's degree,0,civil partnership,1,M,employee,1,37022.373,to buy a car
2,-1321.079223,41,some college,2,married,0,F,employee,0,50327.519,purchase of the house for my family
0,-79.88034968,42,bachelor's degree,0,unmarried,4,F,business,0,41674.463,real estate transactions
0,-356.1311944,22,bachelor's degree,0,civil partnership,1,F,employee,0,19001.243,education
0,384569.9216,54,secondary education,1,civil partnership,1,F,retiree,0,43134.241,construction of own property
1,-2924.598386,34,secondary education,1,married,0,F,employee,1,34114.255,buying my own car
0,-597.2734022,21,some college,2,civil partnership,1,F,business,0,13912.788,transactions with commercial real estate
1,,23,some college,2,civil partnership,1,F,business,0,,to have a wedding
0,383772.1713,65,secondary education,1,widow / widower,2,F,retiree,0,28554.253,cars
0,-145.5416175,32,bachelor's degree,0,married,0,M,business,0,30237.228,buy residential real estate
0,337679.3583,61,secondary education,1,divorced,3,F,retiree,0,17640.187,transactions with commercial real estate
2,-1024.94916,41,secondary education,1,married,0,F,business,0,15133.941,purchase of my own house
0,-434.9313375,52,secondary education,1,married,0,F,employee,0,24622.762,building a property
1,-2066.908426,30,secondary education,1,married,0,F,civil servant,0,21240.698,getting higher education
1,-1588.831642,64,bachelor's degree,0,civil partnership,1,F,employee,0,22787.943,housing
0,339193.0943,60,secondary education,1,unmarried,4,F,retiree,0,30468.18,housing renovation
0,336747.8353,73,secondary education,1,widow / widower,2,F,retiree,0,21903.521,second-hand car purchase
1,-2049.211576,28,secondary education,1,civil partnership,1,M,business,1,30173.703,wedding ceremony
1,-144.1858538,41,SECONDARY EDUCATION,1,married,0,F,employee,1,17934.496,purchase of the house for my family
0,-3803.807419,49,secondary education,1,civil partnership,1,F,employee,0,11938.7,wedding ceremony
1,-1475.69749,50,secondary education,1,married,0,F,employee,0,22942.571,to buy a car
0,-5865.315007,52,secondary education,1,unmarried,4,F,employee,0,22471.631,profile education
0,-1031.907604,50,secondary education,1,married,0,F,employee,0,20026.55,housing
0,395825.1325,59,secondary education,1,married,0,F,retiree,0,22873.047,to buy a car
2,-2585.402858,37,secondary education,1,married,0,M,employee,0,32430.361,buy real estate
0,-708.0735832,44,secondary education,1,civil partnership,1,F,employee,0,37669.985,having a wedding
0,-5267.841785,43,secondary education,1,married,0,M,employee,0,69870.203,real estate transactions
0,-4973.641485,47,secondary education,1,widow / widower,2,F,business,0,21247.559,buy commercial real estate
0,,47,secondary education,1,married,0,M,employee,0,,construction of own property
0,,58,secondary education,1,married,0,F,civil servant,0,,purchase of my own house
0,-464.6341336,49,bachelor's degree,0,civil partnership,1,M,business,0,61398.905,wedding ceremony
0,-879.5873498,48,secondary education,1,civil partnership,1,F,employee,0,20951.298,university education
0,-1933.318994,50,Secondary Education,1,divorced,3,M,employee,0,31547.17,buy residential real estate
1,-1598.870214,40,secondary education,1,married,0,F,business,0,25336.012,building a property
1,,60,bachelor's degree,0,married,0,F,retiree,1,,going to university
0,-3132.180734,31,secondary education,1,married,0,M,employee,0,41521.792,buy residential real estate
0,-1615.914814,29,bachelor's degree,0,married,0,F,employee,0,30110.454,getting higher education
0,,54,bachelor's degree,0,married,0,F,employee,0,,second-hand car purchase
0,380628.3793,71,secondary education,1,widow / widower,2,F,retiree,0,22220.346,buy commercial real estate
1,-5793.741212,35,secondary education,1,married,0,F,business,0,36806.42,purchase of the house
0,357915.0363,63,secondary education,1,widow / widower,2,F,retiree,0,14711.643,getting higher education
2,-940.6004541,44,BACHELOR'S DEGREE,0,married,0,F,business,0,52340.278,housing
0,-6373.865376,45,secondary education,1,married,0,M,employee,0,19180.665,purchase of the house
0,-1681.664549,52,secondary education,1,married,0,F,employee,0,13266.093,supplementary education
0,-874.8530628,49,bachelor's degree,0,married,0,M,employee,0,32727.192,housing transactions
1,-930.0835696,47,secondary education,1,civil partnership,1,M,employee,0,23853.232,wedding ceremony
0,-1611.570503,29,bachelor's degree,0,civil partnership,1,F,employee,0,33916.081,wedding ceremony
1,-1710.140334,29,secondary education,1,civil partnership,1,F,business,0,45845.418,purchase of the house for my family
0,-2658.486083,51,secondary education,1,married,0,F,business,0,23026.168,housing transactions
0,-1617.840355,44,secondary education,1,married,0,F,employee,0,26973.822,buy real estate
0,383664.7812,52,secondary education,1,married,0,F,retiree,0,12036.133,building a real estate
2,,40,secondary education,1,divorced,3,F,employee,0,,property
2,-2888.551724,48,secondary education,1,married,0,M,business,0,34557.671,building a property
0,330174.4847,59,secondary education,1,married,0,F,retiree,0,14942.653,property
0,333718.4911,68,Bachelor's Degree,0,married,0,F,retiree,0,25778.003,transactions with commercial real estate
2,-2875.499548,29,bachelor's degree,0,unmarried,4,M,employee,0,42662.719,purchase of the house
2,-146.0006631,37,secondary education,1,married,0,F,employee,1,12853.455,buying a second-hand car
3,-1872.663186,0,secondary education,1,married,0,F,employee,0,16346.633,housing renovation
0,348537.5001,66,secondary education,1,widow / widower,2,F,retiree,0,9830.631,car
0,-5538.963731,35,primary education,3,civil partnership,1,M,employee,1,19810.253,to become educated
0,396814.1841,57,secondary education,1,unmarried,4,F,retiree,0,14483.766,going to university
2,-1945.376676,25,secondary education,1,civil partnership,1,M,business,0,52852.559,to have a wedding
0,-1481.276143,44,secondary education,1,married,0,F,employee,0,7659.414,buy commercial real estate
0,-8631.590122,64,secondary education,1,married,0,F,employee,0,25730.322,housing renovation
1,-2725.970573,46,secondary education,1,civil partnership,1,M,employee,0,19562.113,to have a wedding
1,,23,Secondary Education,1,civil partnership,1,F,employee,1,,car
0,,44,Secondary Education,1,civil partnership,1,F,employee,0,,transactions with my real estate
0,,66,secondary education,1,married,0,F,retiree,0,,housing transactions
1,-1912.652678,44,secondary education,1,married,0,M,business,0,33180.058,housing renovation
2,-4016.445179,33,secondary education,1,married,0,M,employee,0,36971.018,purchase of the house
0,384733.816,56,secondary education,1,widow / widower,2,F,retiree,0,25986.582,buying my own car
0,-9488.078234,63,bachelor's degree,0,married,0,F,employee,0,16492.483,cars
0,-877.6474188,50,secondary education,1,married,0,M,business,1,13098.098,going to university
0,-9854.773564,45,secondary education,1,married,0,F,employee,0,16738.258,buying a second-hand car
0,-1382.864823,47,secondary education,1,married,0,M,employee,1,22886.818,purchase of my own house
0,-1303.957795,28,secondary education,1,married,0,F,employee,0,13778.763,construction of own property
1,-710.6809162,44,secondary education,1,married,0,F,employee,0,24550.335,housing renovation
0,-1006.240054,35,secondary education,1,married,0,M,business,0,25677.319,to get a supplementary education
-1,-4417.703588,46,secondary education,1,civil partnership,1,F,employee,0,16450.615,profile education
0,-3675.617929,56,secondary education,1,married,0,F,employee,0,21341.368,property
0,360701.1266,65,secondary education,1,married,0,F,retiree,0,27041.489,property
4,-2220.384765,36,bachelor's degree,0,civil partnership,1,F,employee,0,53603.948,wedding ceremony
0,-884.5458974,27,secondary education,1,civil partnership,1,F,business,0,18021.287,buying a second-hand car
0,-741.1272799,43,BACHELOR'S DEGREE,0,married,0,F,employee,0,32531.739,buying property for renting out
0,-471.7627962,45,secondary education,1,married,0,F,employee,1,22941.339,building a property
1,-1082.798951,44,secondary education,1,married,0,F,business,0,17783.56,second-hand car purchase
0,-1433.381776,28,bachelor's degree,0,married,0,F,employee,0,37693.333,transactions with commercial real estate
1,-359.1939749,33,SECONDARY EDUCATION,1,civil partnership,1,M,employee,0,35680.26,having a wedding
0,-848.5856662,53,SECONDARY EDUCATION,1,married,0,M,employee,1,27903.376,building a property
2,-259.7371554,49,primary education,3,civil partnership,1,F,employee,0,31052.373,buy commercial real estate
2,-1684.728463,25,secondary education,1,unmarried,4,F,civil servant,0,10087.689,supplementary education
0,367142.9474,66,secondary education,1,married,0,F,retiree,0,14875.842,transactions with commercial real estate
2,-7381.422129,36,secondary education,1,divorced,3,F,employee,1,7205.312,property
0,-801.5095055,61,secondary education,1,married,0,F,business,0,22119.802,building a real estate
0,-223.3644276,22,secondary education,1,unmarried,4,F,civil servant,0,20428.472,transactions with commercial real estate
0,-916.323737,28,bachelor's degree,0,married,0,M,civil servant,0,41777.794,housing renovation
0,385603.0411,63,secondary education,1,widow / widower,2,F,retiree,0,16320.201,property
0,-7813.942226,49,secondary education,1,married,0,M,business,0,25005.113,buy residential real estate
0,354218.7163,44,Secondary Education,1,married,0,F,retiree,0,7593.277,going to university
1,,33,secondary education,1,civil partnership,1,M,employee,1,,buying property for renting out
0,-519.3467721,35,secondary education,1,married,0,M,business,1,52070.544,supplementary education
2,-672.7917695,39,secondary education,1,married,0,M,employee,0,17821.678,buy real estate
0,390154.5999,61,secondary education,1,married,0,F,retiree,0,23356.514,education
0,-740.7219314,34,secondary education,1,unmarried,4,M,civil servant,0,32340.031,purchase of the house for my family
0,,21,bachelor's degree,0,unmarried,4,M,employee,0,,purchase of a car
0,-3236.795575,35,bachelor's degree,0,married,0,M,business,0,49691.913,to own a car
0,-5484.416235,55,bachelor's degree,0,married,0,F,employee,0,67747.647,building a real estate
0,,63,secondary education,1,widow / widower,2,F,employee,0,,buying a second-hand car
1,,34,bachelor's degree,0,civil partnership,1,M,business,0,,having a wedding
0,,56,SECONDARY EDUCATION,1,civil partnership,1,F,retiree,1,,to have a wedding
0,-1419.81609,64,secondary education,1,married,0,M,business,0,36433.019,buying property for renting out
0,-7694.849832,42,bachelor's degree,0,married,0,M,civil servant,0,51312.148,transactions with commercial real estate
0,-2277.897532,29,secondary education,1,married,0,M,employee,0,25068.895,buy residential real estate
0,352404.9452,55,secondary education,1,divorced,3,F,retiree,0,14827.787,buy real estate
0,-2940.061414,27,primary education,3,married,0,M,employee,0,23678.277,buy commercial real estate
0,,69,secondary education,1,widow / widower,2,F,employee,0,,car purchase
0,-1020.512526,50,secondary education,1,married,0,F,business,0,39926.249,buy residential real estate
